Kod;Nazwa;ofiary œmiertelne;;;;;;;;;;;;;;;;;;;;;
;;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba]
1414000;Powiat nowodworski;-;-;-;-;-;-;-;-;-;-;-;-;18;14;14;19;9;10;13;13;14;12
1415000;Powiat ostro³êcki;-;-;-;-;-;-;-;-;-;-;-;-;15;22;19;7;19;15;15;14;26;12
1416000;Powiat ostrowski;-;-;-;-;-;-;-;-;-;-;-;-;16;20;7;17;11;29;11;17;17;14
1417000;Powiat otwocki;-;-;-;-;-;-;-;-;-;-;-;-;21;14;16;23;11;12;20;18;19;7
1418000;Powiat piaseczyñski;-;-;-;-;-;-;-;-;-;-;-;-;27;15;14;17;12;10;15;22;16;11
1419000;Powiat p³ocki;-;-;-;-;-;-;-;-;-;-;-;-;36;24;25;18;26;14;15;17;22;14
1420000;Powiat p³oñski;-;-;-;-;-;-;-;-;-;-;-;-;23;32;21;27;17;19;12;21;14;24
1421000;Powiat pruszkowski;-;-;-;-;-;-;-;-;-;-;-;-;11;15;12;3;13;5;9;12;12;9
1422000;Powiat przasnyski;-;-;-;-;-;-;-;-;-;-;-;-;9;4;4;12;5;10;7;8;9;10
1423000;Powiat przysuski;-;-;-;-;-;-;-;-;-;-;-;-;5;2;4;7;7;3;6;4;7;8
1424000;Powiat pu³tuski;-;-;-;-;-;-;-;-;-;-;-;-;13;5;5;9;4;9;10;8;10;10
1425000;Powiat radomski;-;-;-;-;-;-;-;-;-;-;-;-;25;27;21;23;16;30;28;23;24;23
1426000;Powiat siedlecki;-;-;-;-;-;-;-;-;-;-;-;-;19;19;16;14;14;11;15;8;16;9
1427000;Powiat sierpecki;-;-;-;-;-;-;-;-;-;-;-;-;12;17;18;8;3;11;7;9;3;10
1428000;Powiat sochaczewski;-;-;-;-;-;-;-;-;-;-;-;-;22;19;13;19;17;15;6;11;12;8
1429000;Powiat soko³owski;-;-;-;-;-;-;-;-;-;-;-;-;7;12;13;9;5;7;6;2;8;6
1430000;Powiat szyd³owiecki;-;-;-;-;-;-;-;-;-;-;-;-;13;6;3;5;6;11;4;2;2;6
1432000;Powiat warszawski zachodni;-;-;-;-;-;-;-;-;-;-;-;-;15;10;14;11;9;16;16;7;14;7
1433000;Powiat wêgrowski;-;-;-;-;-;-;-;-;-;-;-;-;21;9;16;9;15;14;5;7;10;5
1434000;Powiat wo³omiñski;-;-;-;-;-;-;-;-;-;-;-;-;33;26;38;27;25;24;27;18;22;20
1435000;Powiat wyszkowski;-;-;-;-;-;-;-;-;-;-;-;-;22;17;16;16;13;10;21;20;11;5
1436000;Powiat zwoleñski;-;-;-;-;-;-;-;-;-;-;-;-;5;7;7;4;3;6;4;7;3;3
1437000;Powiat ¿uromiñski;-;-;-;-;-;-;-;-;-;-;-;-;3;5;3;3;2;3;2;3;4;3
1438000;Powiat ¿yrardowski;-;-;-;-;-;-;-;-;-;-;-;-;21;13;10;8;14;6;6;14;10;10
1461000;Powiat m.Ostro³êka;-;-;-;-;-;-;-;-;-;-;-;-;1;0;3;1;1;2;0;2;2;3
1462000;Powiat m.P³ock;-;-;-;-;-;-;-;-;-;-;-;-;9;3;4;6;5;6;3;4;4;9
1463000;Powiat m.Radom;-;-;-;-;-;-;-;-;-;-;-;-;12;12;5;6;4;8;13;9;8;7
1464000;Powiat m.Siedlce;-;-;-;-;-;-;-;-;-;-;-;-;1;1;0;1;3;1;0;1;0;2
1465000;Powiat m. st. Warszawa;-;-;-;-;-;-;-;-;-;-;-;-;90;59;74;65;60;54;48;43;35;44
1600000;OPOLSKIE;193;167;149;141;163;150;148;128;136;141;114;107;100;81;97;104;102;99;78;81;73;65
1601000;Powiat brzeski;-;-;-;-;-;-;-;-;-;-;-;-;11;4;10;7;6;8;3;2;13;6
1602000;Powiat g³ubczycki;-;-;-;-;-;-;-;-;-;-;-;-;4;3;3;5;4;2;6;2;1;5
1603000;Powiat kêdzierzyñsko-kozielski;-;-;-;-;-;-;-;-;-;-;-;-;7;7;8;8;5;4;5;9;7;5
1604000;Powiat kluczborski;-;-;-;-;-;-;-;-;-;-;-;-;13;5;7;6;8;9;6;8;6;4
1605000;Powiat krapkowicki;-;-;-;-;-;-;-;-;-;-;-;-;2;8;7;13;3;6;7;11;2;7
1606000;Powiat namys³owski;-;-;-;-;-;-;-;-;-;-;-;-;2;5;8;6;3;6;2;3;1;3
1607000;Powiat nyski;-;-;-;-;-;-;-;-;-;-;-;-;8;14;11;14;16;9;14;13;8;8
1608000;Powiat oleski;-;-;-;-;-;-;-;-;-;-;-;-;5;12;3;9;10;15;5;10;9;2
